,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95
0,ball,46,46,0.80726,0.3644,0.50213,0.45176,0.21607
1,goalkeeper,38,39,0.82005,0.93494,0.87374,0.95489,0.68005
2,player,50,995,0.97651,0.95779,0.96706,0.98976,0.77626
3,referee,50,119,0.93931,0.93277,0.93603,0.97372,0.66384
