,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95
0,ball,46,46,0.84597,0.23913,0.37286,0.28738,0.12561
1,goalkeeper,38,39,0.87325,0.84615,0.85949,0.91459,0.58455
2,player,50,995,0.9376,0.95176,0.94463,0.98114,0.72259
3,referee,50,119,0.89575,0.80672,0.84891,0.89394,0.53521
