,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95
0,ball,46,46,0.80166,0.34783,0.48515,0.43319,0.18748
1,goalkeeper,38,39,0.91496,0.82051,0.86517,0.95486,0.65994
2,player,50,995,0.96148,0.96583,0.96365,0.98903,0.75904
3,referee,50,119,0.94291,0.89076,0.91609,0.95135,0.63294
