,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95
0,ball,8,8,0.96297,0.75,0.84324,0.775,0.45233
1,player,10,117,0.96898,1.0,0.98425,0.99432,0.7901
2,referee,10,16,0.95621,1.0,0.97762,0.995,0.71615
