,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95
0,ball,8,8,0.96744,0.75,0.84496,0.79088,0.4975
1,player,10,117,0.97991,1.0,0.98986,0.99492,0.79383
2,referee,10,16,0.95253,1.0,0.97569,0.995,0.73268
