,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95
0,ball,8,8,1.0,0.601,0.75078,0.74389,0.51741
1,player,10,133,0.99229,0.94737,0.96931,0.99182,0.76309
