,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95
0,ball,8,8,0.97293,0.5,0.66054,0.72879,0.30584
1,player,10,133,0.9914,1.0,0.99568,0.99433,0.71021
