,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95
0,ball,8,8,0.9768,0.75,0.8485,0.79088,0.43243
1,player,10,133,0.98876,1.0,0.99435,0.99455,0.77711
