,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95
0,ball,90,90,0.90357,0.36667,0.52165,0.49167,0.24654
1,goalkeeper,62,64,0.89892,0.85938,0.8787,0.93239,0.65421
2,player,100,1887,0.97724,0.96343,0.97029,0.99002,0.78023
3,referee,100,221,0.96782,0.9276,0.94729,0.96396,0.67204
