,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95
0,ball,90,90,0.79766,0.4,0.53281,0.50413,0.24534
1,goalkeeper,62,64,0.89955,0.90625,0.90289,0.9403,0.68268
2,player,100,1887,0.95489,0.97403,0.96437,0.99104,0.76632
3,referee,100,221,0.92359,0.92308,0.92333,0.96598,0.65946
