,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95
0,ball,90,90,0.78352,0.28159,0.41428,0.36338,0.15247
1,goalkeeper,62,64,0.90363,0.87914,0.89122,0.91833,0.5782
2,player,100,1887,0.94351,0.9629,0.95311,0.98794,0.73451
3,referee,100,221,0.87586,0.8552,0.86541,0.92485,0.58611
