,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95
0,ball,90,90,0.83087,0.35556,0.498,0.49642,0.24884
1,player,100,2172,0.96998,0.96869,0.96934,0.99191,0.77265
