,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95
0,ball,90,90,0.90514,0.4,0.55482,0.5113,0.25522
1,player,100,2172,0.97049,0.97007,0.97028,0.99117,0.75812
