,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95
0,ball,90,90,0.73043,0.33123,0.45577,0.39602,0.15869
1,player,100,2172,0.93647,0.96869,0.95231,0.98759,0.72572
